	species	caste	ID_number	date_of_collection	investigator	collection_site	Region	Latitude	Longitude	Forage_Plant	Temperature 	Wind	r.H.	H.I.	Time_of_Day	date_of_dissection	date_of_DNA_extraction	Concentration	Purity	QPCR_Concentration	QPCR_Purity	DNA_Storage	QPCR_Order	Year	CBombiConc	site_collapsed	site_collapsed_10k	Positive	days_Since_May1	faithpd	PC1	PC2	site_trip	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Bifidobacterium	Bombiscardovia	Lactobacillus	Apibacter	Snodgrassella	Gilliamella	Schmidhempelia	core	Pseudomonadota	date_no_year	Month	site_year	trip_int
B0004	imp	W	4	6/24/17	FJ	Castle IslandRd	Kennebec	44.5108	-69.905							7/5/17	8/3/17	69.0		69.0		2017_1	4.0	2017	1761.4853440218800	Belgrade_Lakes	Belgrade_Lakes	1.0	54	2.080546621242630	-0.12245509833137500	-0.09392003567304920	Castle IslandRd6/24/17	0.9810395879469510	4.97648610316256E-05	0.0066933738087536400	0.0	0.002562890343128720	0.009231381721366540	0.0	0.0066933738087536400	0.03376545820995800	0.9449600636990220	0.9972131677822290	0.9877827266167360	6/24/23	June	Belgrade_Lakes2017	0
B0005	imp	W	5	6/24/17	FJ	Castle IslandRd	Kennebec	44.5108	-69.905							7/5/17	8/3/17	70.0		70.0		2017_1	5.0	2017	24.17122365877630	Belgrade_Lakes	Belgrade_Lakes	1.0	54	2.286315718639480	-0.12172120436830200	-0.10369921318391400	Castle IslandRd6/24/17	0.9579442634817230	0.0	0.0006514657980456030	0.0	0.0	0.012088309808179500	0.016141874773796600	0.0	0.12247557003257300	0.8311255881288450	0.9818313427433950	0.9585957292797680	6/24/23	June	Belgrade_Lakes2017	0
B0008	vag	W	8	6/7/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113							7/7/17	8/3/17	85.0		85.0		2017_1	8.0	2017	7309.095850437540	Allen_Island	Allen_Island	1.0	37	3.227165656760450	0.49396918479587400	-0.14469538402188400	Allen Island Garden6/7/17	0.00258349086326402	0.9827347195967230	0.0058601134215500900	0.0	0.0	0.0	0.0	0.003843730308758660	0.0024574669187145600	0.0	0.00630119722747322	0.9911783238815380	6/7/23	June	Allen_Island2017	1
B0009	bor	W	9	7/12/17	FJ & JG	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	17.0		17.0		2017_1	9.0	2017	0.0	Allen_Island	Allen_Island	0.0	72	2.432989176495680	-0.035723777903646000	0.053365521436579400	Allen Island Garden7/12/17	0.39775709109084100	0.0	0.44570785955266800	0.006153942271648130	0.0	0.08809196551293270	0.057447207297263500	0.4454891915531680	0.3938835436711230	0.0003123828564288390	0.991378233162564	0.8434649506435090	7/12/23	July	Allen_Island2017	2
B0010	bor	W	10	7/12/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	85.0		85.0		2017_1	10.0	2017	0.0	Allen_Island	Allen_Island	0.0	72	1.586549882573600	-0.03446318919139860	0.10667536035103000	Allen Island Garden7/12/17	0.3501814727303730	0.0	0.6457993325700920	7.30762672642682E-05	0.0008769152071712180	0.00019487004603804800	0.0	0.6456531800355640	0.3500353201958440	0.0	0.9968333617518820	0.9959808053004650	7/12/23	July	Allen_Island2017	2
B0011	bor	W	11	7/12/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	79.0		79.0		2017_1	11.0	2017	0.0	Allen_Island	Allen_Island	0.0	72	2.683383883551760	-0.009997095705562810	0.15012976388037200	Allen Island Garden7/12/17	0.23037461740742300	0.0	0.6796137431564430	0.07104366944001380	0.0	0.012286071474759700	0.0025434323403888400	0.6793550890201320	0.22998663620295700	0.0	0.9952148984782520	0.909988360563866	7/12/23	July	Allen_Island2017	2
B0013	vag	W	13	7/12/17	FJ	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	37.0		37.0		2017_1	13.0	2017	2290.79323073902	Allen_Island	Allen_Island	1.0	72	4.130961902884500	-0.09012567626194690	-0.03051192426988800	Allen Island Garden7/12/17	0.8006314839873700	0.0	0.19216522464154400	0.006752231380106890	0.0	0.0	0.0	0.19204220828036800	0.7978977870723470	0.0001913587840516120	0.9968835855168740	0.9927967086289140	7/12/23	July	Allen_Island2017	2
B0014	vag	W	14	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	13.0		26.1	1.67	2017_1	14.0	2017	1454.7597866855400	Allen_Island	Allen_Island	1.0	72	3.443390369817430	0.024851171931380800	0.19939466233965700	Allen Island Garden7/12/17	0.06930361183273280	0.00016760244699572600	0.9159194390904770	0.0	0.007206905220816220	0.0	0.0	0.9144948182910140	0.008352188608620350	0.0	0.9300539121204500	0.9853906533702060	7/12/23	July	Allen_Island2017	2
B0015	bim	W	15	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	21.0		43.4	1.82	2017_1	15.0	2017	4.973676640002720	Allen_Island	Allen_Island	0.0	72	1.666627747911340	-0.03422356959141870	0.11494624516418500	Allen Island Garden7/12/17	0.3297695743251260	0.0	0.6680170744239360	0.0006916722659183430	0.001284534208134070	0.0	0.0	0.6677996917117900	0.3292952847713530	0.00025690684162681300	0.9993280897988220	0.9977866487490610	7/12/23	July	Allen_Island2017	2
B0016	vag	W	16	7/12/17	JG	Allen Island Garden	Allen Island	43.8755	-69.3113	jasmine					11:00	2017-14-7	7/17/17	44.0		44.0		2017_1	16.0	2017	30980.84464093760	Allen_Island	Allen_Island	1.0	72	9.235140748074630	0.16491833656996400	-0.011376948823743600	Allen Island Garden7/12/17	0.23913408289981500	0.05386809867427420	0.14348044973988900	0.01342507132069140	0.0	0.0010068803490518500	0.0005034401745259270	0.027017956032891400	0.015942272193321000	0.0	0.05789562007048160	0.4364826313139790	7/12/23	July	Allen_Island2017	2
