	mean ra	prevalence	1|sp__ Variance	1|sp__ LRT Pvalue	1|sp__ LRT bh	1|sp Variance	1|sp LRT Pvalue	1|sp LRT bh	1|site_year Variance	1|site_year LRT Pvalue	1|site_year LRT bh	residual Variance	(Intercept) Value	(Intercept) Std.Error	(Intercept) Zscore	(Intercept) Pvalue	days_Since_May1 Value	days_Since_May1 Std.Error	days_Since_May1 Zscore	days_Since_May1 Pvalue	days_Since_May1 bh	Positive Value	Positive Std.Error	Positive Zscore	Positive Pvalue	Positive bh
f__Neisseriaceae-g__Snodgrassella	0.2714955066157014	0.9827586206896551	0.969	0.007723249	0.030892996	0.3913	0.1551798	0.24828768	1.2853	1.74944e-11	3.7321386666666666e-11	5.9984	-3.0653603	0.7990156	-3.8364	0.0001248	0.0038126	0.0051711	0.7373	0.4609387	0.4883612903225807	0.0823285	0.2294371	0.3588	0.7197236	0.81888
f__Orbaceae-g__Gilliamella	0.19679530677887438	0.9670846394984326	1.788344	8.849805e-18	1.4159688e-16	0.005058	1.0	1.0	1.003277	1.885582e-07	3.3521457777777776e-07	6.456283	-3.5696309	0.9455514	-3.7752	0.0001599	0.0145828	0.0052535	2.7759	0.0055057	0.009272757894736841	-0.6121277	0.2350909	-2.6038	0.0092199	0.09834559999999999
f__Orbaceae-g__Schmidhempelia	0.19311610910862723	0.9153605015673981	3.2948297	3.684422e-51	1.17901504e-49	0.0001267	1.0	1.0	0.9213823	1.313689e-06	2.212528842105263e-06	6.7519749	-5.7085017	1.2125939	-4.7077	2.506e-06	-0.007171	0.0053303	-1.3453	0.1785	0.2196923076923077	-0.0706913	0.2393244	-0.2954	0.7677	0.81888
f__Pseudomonadaceae-g__Entomomonas	0.06523820244699997	0.3448275862068966	0.0978	0.1202063	0.34969105454545457	6.863e-05	1.0	1.0	4.383	8.132163e-33	3.717560228571429e-32	6.394	-12.8869047	0.5374809	-23.9765	0	0.0317814	0.0056799	5.5954	2.201e-08	5.417846153846154e-08	1.6915978	0.2453155	6.8956	5.364e-12	1.71648e-10
other	0.059931066434499566	0.9137931034482759	2.836	0.04718659	0.150997088	1.195	0.2433712	0.3708513523809524	23.932	1.545296e-12	4.120789333333334e-12	75.585	-13.643136	1.972377	-6.9171	4.61e-12	0.084049	0.018827	4.4644	8.03e-06	1.5115294117647058e-05	-0.27128	0.827225	-0.3279	0.743	0.81888
f__Brucellaceae-g__Brucella	0.04030600814685326	0.3495297805642633	0.04693	0.3539139	0.6291802666666667	0.14363	0.07443055	0.13232097777777777	6.0753	2.810674e-38	2.2485392e-37	6.0648	-5.218143	0.548034	-9.5216	0	-0.049783	0.005647	-8.8159	0	0.0	-0.282155	0.242301	-1.1645	0.2442	0.46531764705882356
f__Weeksellaceae-g__Apibacter	0.02723714619725416	0.40282131661442006	0.001324	1.0	1.0	2.833902	1.361517e-19	2.1784272e-18	1.226314	0.000797601	0.000911544	10.847976	-9.6270788	0.7999725	-12.0343	0	0.0143419	0.0066698	2.1503	0.031533	0.04586618181818181	-0.8300222	0.3011221	-2.7564	0.005844	0.093504
f__Moraxellaceae-g__Acinetobacter	0.017054603626372768	0.6520376175548589	0.0003545	1.0	1.0	0.2394423	0.002635323	0.007666394181818182	1.5781427	1.707212e-11	3.7321386666666666e-11	6.6613673	-10.8950689	0.4768831	-22.8464	0	0.0290206	0.0054647	5.3106	1.093e-07	2.498285714285714e-07	0.3850056	0.2418677	1.5918	0.1114	0.35648
f__Erwiniaceae-g__Rosenbergiella	0.015369630405138765	0.30094043887147337	9.567e-05	1.0	1.0	0.2641	0.0001469852	0.0006719323428571428	1.179	3.963367e-27	1.5853468e-26	5.245	-13.0016689	0.4334631	-29.9949	0	0.0360536	0.0048369	7.4539	9.06e-14	5.7984e-13	-0.0789881	0.2143932	-0.3684	0.7126	0.81888
f__Lactobacillaceae-g__Fructobacillus	0.014957727636016395	0.5391849529780565	1.075e-05	1.0	1.0	0.47	1.091175e-06	6.98352e-06	0.7675	2.124847e-05	2.9563088695652173e-05	7.609	-13.3994482	0.5064519	-26.4575	0	0.0574564	0.0055308	10.3884	0	0.0	0.190368	0.2505837	0.7597	0.4474	0.6606545454545455
