	mean ra	prevalence	1|sp__ Variance	1|sp__ LRT Pvalue	1|sp__ LRT bh	1|sp Variance	1|sp LRT Pvalue	1|sp LRT bh	1|site_year Variance	1|site_year LRT Pvalue	1|site_year LRT bh	residual Variance	(Intercept) Value	(Intercept) Std.Error	(Intercept) Zscore	(Intercept) Pvalue	days_Since_May1 Value	days_Since_May1 Std.Error	days_Since_May1 Zscore	days_Since_May1 Pvalue	days_Since_May1 bh	log_CBombi Value	log_CBombi Std.Error	log_CBombi Zscore	log_CBombi Pvalue	log_CBombi bh
f__Neisseriaceae-g__Snodgrassella	0.2714955066157014	0.9827586206896551	0.6855	0.08508629	0.30252903111111107	0.6839	0.04364686	0.08399561411764707	1.259	3.827896e-09	7.655792e-09	6.3863	-2.9514161	0.8377262	-3.5231	0.0004265	0.0031301	0.0062981	0.497	0.6192024	0.66048256	-0.0186889	0.0328563	-0.5688	0.5694864	0.7289425919999999
f__Orbaceae-g__Gilliamella	0.19679530677887438	0.9670846394984326	1.4715	0.004021907	0.021450170666666667	0.4907	0.2108105	0.30663345454545454	1.0611	7.495876e-07	1.3326001777777777e-06	6.6766	-3.8702737	1.001998	-3.8626	0.0001122	0.0153867	0.0063248	2.4327	0.014985	0.022834285714285713	-0.1057707	0.0333501	-3.1715	0.0015164	0.016174933333333332
f__Orbaceae-g__Schmidhempelia	0.19311610910862723	0.9153605015673981	3.141	8.51406e-38	2.7244992e-36	9.639e-07	1.0	1.0	0.483	0.001979133	0.00253329024	7.325	-6.31130506	1.25967173	-5.0103	5.435e-07	-0.00098577	0.00618119	-0.1595	0.8733	0.8733	-0.03694793	0.03390222	-1.0898	0.2758	0.5239111111111111
f__Pseudomonadaceae-g__Entomomonas	0.06523820244699997	0.3448275862068966	3.389e-07	1.0	1.0	3.694e-05	1.0	1.0	4.619	7.530468e-29	4.81949952e-28	7.065	-13.7873707	0.6074185	-22.6983	0	0.0369757	0.0071966	5.138	2.777e-07	7.405333333333333e-07	0.3163516	0.0349758	9.0449	0	0.0
other	0.059931066434499566	0.9137931034482759	0.9052	0.2668443	0.56926784	1.2949	0.151118	0.2417888	15.8611	1.87905e-09	4.00864e-09	68.5383	-13.6278557	1.9202492	-7.0969	1.276e-12	0.0782597	0.020897	3.745	0.0001804	0.0003395764705882353	-0.0013441	0.1074556	-0.0125	0.9900196	0.9900196
f__Brucellaceae-g__Brucella	0.04030600814685326	0.3495297805642633	0.004614	0.4876201	0.8668801777777778	0.075238	0.2087037	0.30663345454545454	6.016739	1.386022e-28	7.392117333333333e-28	5.959795	-5.0375944	0.6096668	-8.2629	0	-0.0500035	0.0068599	-7.2892	3.118e-13	3.3258666666666666e-12	0.0129865	0.0330954	0.3924	0.6948	0.7940571428571428
f__Weeksellaceae-g__Apibacter	0.02723714619725416	0.40282131661442006	0.0004077	1.0	1.0	2.7606099	1.423848e-19	4.5563136e-18	0.6949689	0.02108734	0.02326878896551724	9.9131529	-10.2368021	0.8514781	-12.0224	0	0.0183744	0.0072177	2.5457	0.010905	0.017447999999999998	-0.1268549	0.0394589	-3.2149	0.001305	0.016174933333333332
f__Moraxellaceae-g__Acinetobacter	0.017054603626372768	0.6520376175548589	0.222929	0.02022188	0.08088752	0.000248	0.497622	0.63695616	1.618907	8.49038e-09	1.5981891764705883e-08	6.677287	-10.6403977	0.6375398	-16.6898	0	0.0212414	0.0065148	3.2605	0.001112	0.0019768888888888887	0.079344	0.0334946	2.3689	0.017843	0.11419520000000001
f__Erwiniaceae-g__Rosenbergiella	0.015369630405138765	0.30094043887147337	0.0001768	1.0	1.0	0.1751355	0.01246272	0.030677464615384616	1.3778817	3.708742e-27	1.6954249142857143e-26	5.3124866	-13.7055915	0.5068656	-27.0399	0	0.0439022	0.0058495	7.5053	6.13e-14	9.808e-13	0.0145171	0.0299339	0.485	0.6277	0.7725538461538461
f__Lactobacillaceae-g__Fructobacillus	0.014957727636016395	0.5391849529780565	1.729e-06	1.0	1.0	0.5055	4.289164e-06	2.74506496e-05	0.4657	0.00329002	0.003760022857142857	7.348	-13.1404372	0.5718995	-22.9768	0	0.0553274	0.0061399	9.0111	0	0.0	0.0433419	0.0336256	1.289	0.1974	0.44565333333333335
